epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,5342.36,0.97615,1.16516,1.40617,0.88296,0.7668,0.87479,0.73339,1.00167,0.76327,1.51818,0.00040462,0.00040462,0.00040462
115,5395.42,0.97546,1.17791,1.40606,0.8528,0.7747,0.86973,0.73217,0.99223,0.76498,1.52437,0.000397019,0.000397019,0.000397019
116,5443.87,0.98421,1.17685,1.4036,0.86715,0.76274,0.87103,0.73472,0.97432,0.78429,1.50211,0.000389445,0.000389445,0.000389445
117,5492.27,0.97862,1.17082,1.40083,0.86071,0.7734,0.8735,0.73704,0.96942,0.76533,1.48856,0.000381899,0.000381899,0.000381899
118,5540.82,0.97934,1.16267,1.39408,0.80526,0.82685,0.87295,0.7361,0.96918,0.75205,1.48481,0.000374383,0.000374383,0.000374383
119,5588.82,0.97331,1.16903,1.39139,0.82216,0.8146,0.8746,0.73195,1.01031,0.7497,1.51704,0.000366899,0.000366899,0.000366899
120,5638.6,0.97661,1.16022,1.4044,0.84157,0.80725,0.8814,0.74307,0.96991,0.72844,1.47682,0.00035945,0.00035945,0.00035945
121,5690.72,0.97174,1.16268,1.39713,0.83338,0.81149,0.87892,0.73959,0.9784,0.72775,1.48118,0.000352037,0.000352037,0.000352037
122,5739.32,0.97935,1.19259,1.40841,0.86666,0.78852,0.87691,0.74024,0.95338,0.75893,1.46495,0.000344661,0.000344661,0.000344661
123,5787.59,0.96905,1.14744,1.38294,0.85967,0.79122,0.87656,0.73996,0.97298,0.74232,1.48281,0.000337325,0.000337325,0.000337325
124,5836.05,0.98337,1.17613,1.40433,0.80855,0.81637,0.87405,0.73641,0.9545,0.74716,1.47585,0.00033003,0.00033003,0.00033003
125,5884.42,0.97761,1.15766,1.40066,0.86233,0.79121,0.88016,0.74371,0.93547,0.7304,1.46465,0.000322778,0.000322778,0.000322778
126,5936.33,0.962,1.15525,1.38855,0.83658,0.80895,0.87918,0.74597,0.95136,0.73598,1.45865,0.000315572,0.000315572,0.000315572
127,5984.68,0.95689,1.16938,1.39344,0.84744,0.81331,0.88211,0.74572,0.95098,0.73,1.47884,0.000308412,0.000308412,0.000308412
128,6032.85,0.98483,1.17308,1.40428,0.86048,0.79265,0.87861,0.74184,0.9468,0.74713,1.48223,0.0003013,0.0003013,0.0003013
129,6081.05,0.95827,1.14069,1.38133,0.85449,0.78572,0.8727,0.74235,0.95151,0.72767,1.48195,0.000294239,0.000294239,0.000294239
